Sangwei Lu
Ivonne del Valle
Stefano DellaVigna
J. Bradford DeLong
Donald DePaolo
Stephen E. Derenzo
Thomas M. Devine
Jeroen Dewulf
Marian Cleeves Diamond
Robert Dibble
Stephen P. L. Diliberto
Robert DiMartino
Nicholas Dirks
Lowell Dittmer
Mary Ann Doane
Richard S. Dodd
Kjell Doksum
Frederick Dolan
Phyllis Dolhinow
Daylet Dominguez
Kathleen Donegan
Holly Doremus
David Dornfeld
Jennifer A. Doudna
Dru Dougherty
Beshara Doumani
William Dow
David E. Dowall
Fiona M. Doyle
John A. Dracup
Douglas Dreger
William J. Drummond
Oscar Dubon
Robert Dudley
Sandrine Dudoit
John Dueber
Joseph Duggan
Leonard Duhl
Troy Duster
Robert Dynes
Robert Edelstein
Jeffrey L Edleson
Aaron S. Edlin
John Efron
Alexei Efros
Robin Einhorn
Laurent El Ghaoui
Noureddine El Karoui
John W. Ellwood
Jon Else
Robert Ely
Jerome Engel
Jay M. Enoch
Joel Fajans
Roger Falcone
Qintao Fan
Joseph Farrell
Ron Fearing
Malcolm M. Feeley
Jacob Feldman
Jerome A. Feldman
Carlos Fernandez-Pello
Giovanni R. F. Ferrari
Filip C. Filippou
Lily Wong Fillmore
Mary K. Firestone
Gary Firestone
Robert L. Fischer
Anthony C. Fisher
Aaron Fisher
John G. Flannery
Sharon E. Fleming
Mostafa A. Foda
John G. Forte
Louise P. Fortmann
Marion Fourcade
T. Kenneth Fowler
Meredith Fowlie
Cybelle Fox
Armando Fox
Harrison S. Fraker
Anne-lise Francois
Gordon W. Frankie
Massimiliano Fratoni
Victoria Frede
Douglas W. Fuerstenau
Robert J. Full
Ashok Gadgil
Joshua Gang
Ori Ganor
Matteo Garbelotto
Lisa Garcia Bedolla
William L. Garrison
Koziol Geoffrey
John Gerhart
Bernard R. Gifford
Rosemary G. Gillespie
Hannah Ginsborg
N. Louise Glass
Roger Glassey
Alfred E. Glassgold
Evelyn Nakano Glenn
Deniz Giktirk
Luba Golburt
Thomas B. Gold
Ken Goldberg
Robert P. Goldman
Sally J. Sutherland Goldman
Allen Goldstein
Joshua Goldstein
Thomas Goldstein
Anu Gomez
Peng Gong
Xiaohua Gong
Marcial Gonzalez
Kevis Goodman
Richard E. Goodman
Leo A. Goodman
Alison Gopnik
Cynthia Gorney
Yuriy Gorodnichenko
Philip Gotanda
Emily Gottreich
Pierre-Olivier Gourinchas
Sanjay Govindjee
Paul Grabowicz
Nelson H. H. Graburn
A. James Gregor
Tom Griffiths
Igor Grigoriev
Costas P. Grigoropoulos
Karsten Gronert
Ronald Gronsky
Ramin Grosfoguel
Joan Grossman
L.M. Grossman
Gregory Grossman
Paul Groth
Jay T. Groves
W. Norton Grubb
Joel W. Grube
F. Alberto Grunbaum
Jose Guajardo
Jocelyne Guilbault
John J. Gumpers
Xin Guo
Ture Gustafson
Junko Habu
Gunilla Haegerstrom-Portnoy
Nils Hakansson
Ole Hald
Dorothy Hale
Bronwyn Hall
Christopher Hallett
Jodi Halpern
S. Katharine Hammond
Ming Hammond
Timothy Hampton
Ian F. Haney Lopez
Kristin Hanson
Robert Harley
Leo A. Harrington
Robert Harris
Robert A. Harris
Jenny Harrison
Michael A. Harrison
George L. Hart
John Harte
Bjoern Hartmann
Robin C. Hartshorne
John F. Hartwig
Allison Harvey
Yoko Hasegawa
Robert Hass
Ron E. Hassner
Christine Hastorf
Wick Haxton
Cori Hayden
Tyrone B. Hayes
Teresa L. Head-Gordon
Martin P. Head-Gordon
John Hearst
Clayton H. Heathcock
John Heilbron
Wolfgang Heimpel
Joseph M. Hellerstein
Robert Helsley
Ravenna Helson
Ronald Hendel
Terrence Hendershott
Slawomir W. Hermanowicz
Kate Heslop
John R. Hetland
Todd Hickey
Carole S. Hickman
Leanne L. Hinton
Morris Hirsch
Leslea Hlusko
Teck H. Ho
Dorit Hochbaum
Darleane C. Hoffman
Stefan-Ludwig Hoffmann
Gary B. Holland
Wesley Holliday
David Hollinger
Susan D. Holloway
Ian Holmes
Seth Holmes
James Holston
Olga Holtz
Renate Holub
William Holzapfel
Elizabeth A Honig
Walter Hood
Chris Jay Hoofnagle
Ernest Hook
Petr Horava
Alexander J. Horne
Roberto Horowitz
H. Mack Horton
Arpad Horvath
Peter Hosemann
Michael Hout
Hilary Hoynes
You-tien Hsing
John Huelsenbeck
Philip Hugenholtz
Robert P. Hughes
Olga Raevsky Hughes
Shari Huhndorf
Richard Hutson
Malo Hutson
Michael Iarocci
Nicholas Ingolia
Sharon Inkelas
Ehud Isacoff
Lisa Iwamoto
Shannon Jackson
John David Jackson
Lucia Jacobs
Robert Jacobsen
Abdul JanMohamed
Michael Jansson
Janet Jansson
Raymond Jeanloz
Nicholas Jewell
Oliver John
Michael Johns
Phillip E. Johnson
Lane Johnson
Keith Johnson
David G. Johnson
Sheri Johnson
Nicole Bastian Johnson
George C. Johnson
Jennifer Johnson-Hanks
Nikki Jones
Vaughan F. R. Jones
Russell L. Jones
Andrew F. Jones
Donna Jones
Stephanie Jones-Rogers
Michael Jordan
Anthony D. Joseph
Anne Joseph O'Connell
Ken Jowitt
Rosemary A. Joyce
Sanford H. Kadish
Anton Kaes
Robert A. Kagan
Victoria Kahn
Kuniyoshi Kanai
Caroline Kane
Tabitha Kanogo
Jerome Karabel
Robert Kaufman
Homayoon Kazerooni
Tony M. Keaveny
Leroy Kerth
John Kihlstrom
Sung-Hou Kim
Nicole King
C. Judson King
Robion C. Kirby
Thomas Kirchstetter
Robert T. Knight
Edgar Knobloch
Mimi R. Koehl
Yury Kolomensky
Arash Komeili
Kyriakos Komvopoulos
Yaniv Konchitchki
G. Mathias Kondolf
Catherine Koshland
Douglas Koshland
Botond Koszegi
Ronald Krauss
Chana Kronfeld
John D. Kubiatowicz
Isao Kubo
John Kuriyan
Christopher Kutz
George P. Lakoff
Robin T. Lakoff
Robert S. Lane
Thomas Laqueur
Ray R. Larson
Joyce Lashof
Robert C. Leachman
Ronald Lee
Hong Yung Lee
Geoffrey Lee
George Leitmann
Thomas C. Leonard
Jonathan Leonard
Stephen R. Leone
John Letiche
Robert W. Levenson
Gregory P. A. Levine
Ross Levine
Jonah D. Levy
Jovan Lewis
Song Li
Shaofan Li
John Lie
Dorian Liepmann
Raymond Lifchez
Kent Lightfoot
Ethan A. Ligon
James Lincoln
Steven E. Lindow
John Lindow
Polina Lishko
Robert Littlejohn
David Littlejohn
Goodwin Liu
Fenyong Liu
Jeffrey R. Long
Anthony A. Long
Cynthia Looy
Peter Lorentzen
Steven Louie
Margaretta Lovell
Jacob Lubliner
Kunxin Luo
Colleen Lye
Donlyn Lyndon
Richard Lyons
Roya Maboudian
Robert MacCoun
Elizabeth Macdonald
John MacFarlane
Ian Maddieson
Saba Mahmood
Thomas Maimone
Paolo Mancosu
Robert Mandell
Alaa Mansour
Samuel S. Mao
Clare Cooper Marcus
Angela Marino
Samuel Markowitz
Thomas Marschak
Waldo Martin
Francine Masiello
Mary Ann Mason
Donald J. Mastronarde
Aila Matanock
Nicholas Mathew
Olga Matich
Susan Matisoff
James A. Matisoff
Jane Gilbert Mauldon
Maria Mavroudi
Adolf D. May
Massimo Mazzotti
Jon McAuliffe
Joe R. McBride
John G. McColl
Sheila McCormick
Dale R. McCullough
Christopher F. McKee
William McKillop
John K. McNulty
Donald McQuade
Jonas Meckling
Sanjyot Mehendale
Povindar K. Mehta
Anastasios Melis
Rodolfo Mendoza-Denton
Carolyn Merchant
Robert P. Merges
Robert G. Meyer
Guy Micco
Lorraine Midanik
Raymond Miles
Norman Miller
Nicholas J. Mills
Katharine V. Milton
Andrew Minor
Heinrich Mintrop
Minoo Moallem
Jack P. Moehle
Mohammad Mofrad
Carl L. Monismith
Antonio Montalban
Paulo J. M. Monteiro
David Montejano
Donald Moore
Joel Moore
C. Bradley Moore
Calvin C. Moore
Don Moore
G. Cristina Mora
Enrico Moretti
Luciano G. Moretto
Nelson Morgan
John Morgan
Patricia Morgan
Max Moritz
Craig Moritz
Davitt Moroney
Calvin Morrill
Stephen Morris
"J.W. Morris, Jr"
H. Frank Morrison
E. C. Morse
Khalid M. Mosalam
Gavriel Moses
Elchanan Mossel
Scott Moura
David Mowery
Forrest Mozer
Holger Mueller
"Carlos Muձoz, Jr"
Veronique Munoz-Darde
Hitoshi Murayama
Trevor M. Murphy
John Myers
Ramona Naddaff
Joseph L. Napoli
Ignacio Navarrete
William W. Nazaroff
Jeffrey Neaton
George Necula
Noel Nellis
Sarah Nelson
Kara L. Nelson
Alan H. Nelson
John S. Newman
Xiaoxia Newton
John Ngai
Johanna Nichols
Charles S. Nicoll
Hiroshi Nikaido
Borivoje Nikolic
Krishna K. Niyogi
Alva Noe
Eva Nogales
Deborah Nolan
Maura Nolan
Yasunori Nomura
Daniel Nomura
Maria Nondorf
Philippe Nonet
Carlos Norena
Richard B. Norgaard
Eric B. Norman
G. Ugo Nwokeji
David D. O' Grady
John O'Brien
Geoffrey O'Brien
Kevin J. O'Brien
James O'Brien
Grace D O'Connell
Patrick O'Grady
Kevin L. O'Hara
Michael O'Hare
Katherine O'Brien O'Keeffe
Kate O'Neill
Daniel O'Neill
Oliver O'Reilly
Dara O'Rourke
David O'Sullivan
Maurice Obstfeld
Terrance Odean
Arthur E. Ogus
John J. Ohala
Donald R. Olander
William G. Oldham
Ellen Oliensis
Robert M. Oliver
Martha L. Olney
Bruno Olshausen
Martin Olsson
James Olzmann
Michael Omi
Aihwa Ong
Marcus M. Opp
Gabriel Orebi Gann
Deborah Orel-Bixler
Shmuel S. Oren
Joseph Orenstein
Kurt C. Organista
Abena Osseo-Asare
George Oster
Claudia P. Ostertag
Samuel Otter
W. Geoffrey Owen
Emily Ozer
Lior Pachter
Genaro Padilla
Nicholas Paige
Morton D. Paley
Christopher Palmer
Marios Panagiotou
Stefania Pandolfo
Christos H. Papadimitriou
Panayiotis Papadopoulos
Nikolaos Papazarkadas
Irina Paperno
Zachary Pardos
Christine Parlour
Loren Partridge
Panos N. Patatoukas
David A. Patterson
James L. Patton
Vern Paxson
P. David Pearson
Nancy Lee Peluso
J. Theodore Peձa
Edward Penhoet
Jeffrey M. Perloff
Kristin Persson
Per-Olof Persson
Trond Petersen
Andrea L. Peterson
Mark Peterson
Per F. Peterson
Norman E. Phillips
Beth Piatote
Diego Pirillo
Albert P. Pisano
Kristofer Pister
Elijah Polak
Michael Pollan
Kenneth A. Polse
John Polt
Mu-Ming Poo
Kameshwar Poolla
James Porter
Carolyn Porter
Benjamin Porter
Daniel Portnoy
Alison Post
Jack M. Potter
Malcolm Potts
Matthew Potts
Graham H. Powell
john powell
James L. Powell
Jerry A. Powell
Thomas M. (Zack) Powell
Robert Powell
Mary E. Power
Alexey Pozdnukhov
Jo-Ellen Pozner
Ndola Prata
John M. Prausnitz
Buford Price
Robert M. Price 
Jean-Pierre Protzen
Elizabeth Purdom
Roger Purves
Eliot Quataert
John Quigley
Jose Rabasa
Sophia Rabe-Hesketh
Paul Rabinow
Clayton J. Radke
John D. Radke
Ronald Rael
Leigh Raiford
Eric P. Rakowski
Julio Ramos
Satish Rao
Gordon Rausser
Kenneth N. Raymond
James W. Rector
Carol Redmount
Robert B. Reich
Carolina Reid
Arthur Reingold
Nicolai Reshetikhin
Fraydoun Rezakhanlou
Robert Rhew
Richard A. Rhodes
John L. Rhodes
John Rice
Hugh Richmond
Rhonda Righter
Donald Riley
Donald Rio
Robert Ritchie
John Roberts
Karlene Roberts
Lynn C. Robertson
Ellen Robey
James Robinson
Francesca Rochberg
George Roderick
Juana Maria Rodriguez
Hector Rodriguez
Andres Rodriguez-Clare
Henk Roelink
Daniel Rokhsar
Gerard Roland
Barbara Romanowicz
Christina Romer
David Romer
David Romps
Austin John Roorda
Eleanor Rosch
Andrew Rose
Christine Rosen
Kenneth Rosen
Ruth Rosen
Erica Bree Rosenblum
Arthur Rosenfeld
Caitlin Rosenthal
Sheldon M. Ross
Thomas Rothenberg
Jesse Rothstein
Lawrence A. Rowe
Ananya Roy
Yoram Rubin
Boris Rubinsky
Thomas G. Rundall
Jerome L. Sackman
Elisabeth Sadoulet
Bernard Sadoulet
Dylan Paul Sailor
Stanley Saitowitz
Miquel Salmeron
Pamela Samuelson
Martin Sanchez-Jankowski
Alberto Sangiovanni-Vincentelli
Alex Saragoza
Donald E. Sarason
Richmond Sarpong
William Satariano
Scott Saul
Omer Savas
Robert F. Sawyer
Geoffrey B. Saxe
Thomas Scanlon
Howard Schachman
Stefano Schiavon
Rudolf Schmid
Alan H. Schoenfeld
Clifton M. Schor
Kristin Scott
Janelle Scott
John Searle
Raymond B. Seed
Koushik Sen
George Sensabaugh
Carlo Sequin
Vera Serganova
Ingrid Seyer-Ochi
Thomas Shannon
Christina Shannon
J George Shanthikumar
Marjorie Shapiro
Barbara Shapiro
Carl Shapiro
Martin M. Shapiro
Valerie Shapiro
Robert Sharf
Jonathan Sheehan
Kim Shelton
Max Zuo-Jun Shen
Scott Shenker
Katherine D. Sherwood
Jonathan Shewchuk
Jiwon Shin
Andrew Shogan
Kevan Shokat
Stephen Shortell
Howard Shugart
Marjorie Shultz
Jonathan Simon
Leo K. Simon
Isadore M. Singer
Nicholas Sitar
Kimmen Sjolander
Alex Skabardonis
Jeffrey Skoller
Theodore A. Slaman
Montgomery Slatkin
Doris Sloan
Thomas Sloane
Dan I. Slobin
Ann Smock
George F. Smoot
Johan Snapper
Lonnie Snowden
Rodney J. Sobey
Lydia Sohn
Karen Sokal-Gutierrez
Shauna Somerville
Chris Somerville
Friedrich Sommer
Gabor A. Somorjai
Dawn Song
Sarah Song
Yun S. Song
Wayne P. Sousa
Michael Southworth
Costas J. Spanos
Robert Spear
Pablo Spiller
Hyron Spinrad
Garrison Sposito
Carol B. Stack
Richard Stanton
George Starr
John Steel
Scott L. Stephens
Laura Sterponi
Jonathon H. Stillman
Shannon C. Stimson
Ion Stoica
Bozidar Stojadinovic
Vladimir Stojanovic
Laura Stoker
Susan Irene Stone
Charles Stone
Susan Stone
Jill L. Stoner
Tyler Stovall
Eric Stover
John Strain
George Strauss
Ronald S. Stroud
Barry Stroud
Mark Strovink
Hei Sook Sul
Mahiko Suzuki
Nicholas Swanson-Hysell
Eleanor Swift
Stephanie Syjuco
S. Leonard Syme
Nicolas Tackett
Mark Tanouye
Robert L. Taylor
Ula Y. Taylor
Margaret Taylor
Terry Taylor
Hayden Taylor
John W. Taylor
Constantin Teleman
Norman Terry
Jerome F. Thomas
D. Paul Thomas
Aram Thomasian
Charis Thompson
Sally E. Thompson
Emily V. Thornbury
Barrie Thorne
Jeremy Thorner
T. Don Tilley
"Ignacio Tinoco, Jr."
Sylvia Tiwon
Robert Tjian
Soraya Tlatli
Masayoshi Tomizuka
Claire Tomlin
Iris D. Tommelein
Benson H. Tongue
Nelson Maldonado Torres
F. Dean Toste
Charles Townes
George Trilling
Robert Tripp
Tina Trujillo
Elliot Turiel
Doug Tygar
Laura D'Andrea Tyson
Susan Ubbelohde
Ken Ueno
Theodore Van Duzer
Nancy A. Van House
Molly Van Houweling
Frances Van Loo
Kate van Orden
Evan Variano
Paula Varsano
Wayne A. Verdon
James Vernon
Sofia Villas-Boas
J. Miguel Villas-Boas
Fernando E. Viteri
Steven Vogel
David J. Vogel
Dan-Virgil Voiculescu
Paul A. Vojta
Loy Volkman
Peter C. Vollhardt
Sophie Volpp
Leti Volpp
Alexander von Rospatt
Kim Voss
Loic Wacquant
Bonnie Wade
John B. Wagoner
Johan Walden
Jonathan Wallis
Christopher Walters
John Watson
John Wawrzynek
Rhona S. Weinstein
Jonas Wellendorf
Hans-Rudolf Wenk
Donald P. Weston
James A. Wilcox
Christine Wildsoet
Robert Wilensky
Jon Wilkening
Caroline Williams
Oliver E. Williamson
John Wilmoth
Mark Wilson
Edward L. Wilson
David Winickoff
Astar Winoto
Michael Wintroub
Jason Wittenberg
Mariusz Wodzicki
Jennifer Wolch
Joseph Wolf
Ronald W. Wolff
Catherine Wolfram
Sau-ling C. Wong
Hertha Sweet Wong
Eugene Wong
David L. Wood
W. Hugh Woodin
Glenn A. Woroch
Frank C Worrell
Junqiao Wu
Jonathan Wurtele
Lisa Wymore
Eli Yablonovitch
Kazuo Yamazaki
Peidong Yang
Candace Yano
Jie Yao
Ronald W. Yeung
John Choon Yoo
Rob York
Nir Yosef
Lotfi A. Zadeh
Avideh Zakhor
Sheldon Zedeck
Florian Zettelmeyer
Xiao-Jun Zhang
Dora Zhang
Qing Zhong
Qiang Zhou
Qing Zhou
J. Nicholas Ziegler
Peter Zinoman
Tarek Zohdi
Robert S. Zucker
Maciej Zworski
John Zysman
Sangwei Lu
Paul Adams
Adrian Aguilera
David Aldous
A. Paul Alivisatos
Miguel Altieri
Bruce N. Ames
Ronald G. Amundson
Eduardo Andrade
Murat Arcak
Albert Russell Ascoli
Arthur Askins
Stephan H. Astourian
Alper Atamturk
Alan J. Auerbach
Maximilian Auffhammer
Bertrand Augst
Denis Auroux
David M. Auslander
Michael J. Austin
Ozlem Ayduk
Guitty Azarpay
Julia Bader
Ruzena Bajcsy
Bruce G. Baldwin
Stuart Bale
Patricia Baquedano-Lipez
Paul Bartlett
Helen Bateup
Diana Bautista
Robert Birgeneau
Joshua Bloom
Mark Blum
Carolyn Patty Blum
Raphael Bousso
Justin Brashares
George Breslauer
Natalia Brizuela
Janet Broughton
Joan Bruna Estrach
Thomas D. Bruns
Julia Bryan-Wilson
Lara Buchak
Bob B. Buchanan
Paul Buchholz
Michael Buckland
Thomas F. Budinger
Dmitry Budker
Gertrude Buehring
Mark Bukowinski
Stephen McG. Bundy
Silvia Bunge
Dana Buntrock
Michael Burawoy
Roland Birgmann
Jonathan Burgstone
Beth Burnside
Carlos Bustamante
Judith Butler
Van Butsic
Richard M. Buxbaum
Duncan Callaway
Edmund Campion
Squeak Carnwath
Claudia Carr
Jamie H. Doudna Cate
Mary M. Cavanaugh
Seymour Chatman
Jyh-Yuan Chen
Lu Chen
Ching-Shui Cheng
Henry Chesbrough
Nathan W. Cheung
Samuel Hung-nin Cheung
Eugene Chiang
Julian Chun-Chung Chow
Steven Chu
Leon O. Chua
John Chuang
Susana Chung
Douglas Clark
Louise George Clubb
Cynthia E. Coburn
Eugene Commins
Paul Concus
Jason Corburn
Klaus Corcilius
Laurent Coscoy
Thomas Courtade
Victor Couture
Kurt M. Cuffey
David E. Culler
Anne E. Cunningham
Jyotirindra Das Gupta
Justin Davidson
Lucas W. Davis
Jacques de Caso
Rui de Figueiredo
Lutgard C. De Jonghe
Benito O. De Lumen
Nicholas de Monchaux
Julianna Deardorff
Armen Der Kiureghian
Abby Dernburg
Jeroen Dewulf
Kjell Doksum
Daylet Dominguez
Holly Doremus
Jennifer A. Doudna
Dru Dougherty
Beshara Doumani
John A. Dracup
Douglas Dreger
Hubert Dreyfus
Stuart Dreyfus
David Drubin
William J. Drummond
Oscar Dubon
Robert Dudley
Sandrine Dudoit
John Dueber
Peter Duesberg
Joseph Duggan
Paul Duguid
Leonard Duhl
Ian Duncan
Troy Duster
Sunil Dutta
Lauren B. Edelman
David Eisenbud
Laurent El Ghaoui
Noureddine El Karoui
William Russell Ellis
Susanna Elm
Laura Enriquez
Thibault Fally
Munis D. Faruqui
Paula Fass
Charles B. Faulhaber
Filip C. Filippou
Paul Fine
Claude Fischer
Suzanne M.J. Fleiszig
Laurel Fletcher
Louise P. Fortmann
Marion Fourcade
Sarah Warshauer Freedman
William Fuchs
Douglas W. Fuerstenau
Robert J. Full
Mia Fuller
Bruce Fuller
Inez Fung
Susanne Gahl
Joshua Gang
Paul L. Gersper
Paul Gertler
N. Louise Glass
Britt Glaunsinger
Deniz Giktirk
Luba Golburt
Sally J. Sutherland Goldman
Joshua Goldstein
Anu Gomez
Xiaohua Gong
Yuriy Gorodnichenko
Pierre-Olivier Gourinchas
Paul Grabowicz
Nelson H. H. Graburn
Susan L. Graham
Paul R. Gray
Costas P. Grigoropoulos
Ramin Grosfoguel
Paul Groth
W. Norton Grubb
Joel W. Grube
Erich S. Gruen
F. Alberto Grunbaum
Ming Gu
Jose Guajardo
Sylvia Guendelman
Suzanne Guerlac
Jocelyne Guilbault
John J. Gumpers
Xin Guo
Ture Gustafson
Andrew P. Gutierrez
Maria Paz Gutierrez
Andrew T. Guzman
Junko Habu
Hartmut Haeffner
Gunilla Haegerstrom-Portnoy
Eugene E. Haller
Eugene A. Hammel
Kausalya Hart
Frank Hauser
Paul N. Hilfinger
Leslea Hlusko
Dorit Hochbaum
Stefan-Ludwig Hoffmann
Susan D. Holloway
Renate Holub
Michael Hout
Wu-Yi Hsiang
You-tien Hsing
Ming Hsu
Teh-wei Hu
Chenming Calvin Hu
Haiyan Huang
John Huelsenbeck
Philip Hugenholtz
Robert P. Hughes
Olga Raevsky Hughes
Shari Huhndorf
Glynda Hull
David Hult
Lynn Huntsinger
Michael Hutchings
Malo Hutson
Richard Hutson
Enrique Iglesia
Judith E. Innes
Ehud Isacoff
Susan L. Ivey
Lucia Jacobs
William Jagust
Abdul JanMohamed
Vaughan F. R. Jones
Russell L. Jones
Steven Justice
Paul Kalas
Yehuda Kalay
Kuniyoshi Kanai
Daniela Kaufer
Allan Kaufman
Cari Kaufman
Robert Kaufman
David H. Kavanaugh
Paul Kay
Kurt Keutzer
Sung-Hou Kim
C. Judson King
Tsu-Jae King Liu
Judith P. Klinman
Yury Kolomensky
Kyriakos Komvopoulos
Douglas Koshland
Ronald Krauss
Laura Kray
John D. Kubiatowicz
Isao Kubo
Winfried Kudszus
Andreas Kuehlmann
Ernest S. Kuh
Karl Kullmann
Sanjay Kumar
Wulf Kunkel
John Kuriyan
Leslie Kurke
Christopher Kutz
Marika Kuzma
Michel Laguerre
Thomas Laqueur
Niklaus Largier
Laurel Larsen
Kam Y. Lau
Dung-Hai Lee
Luke P. Lee
Hong Yung Lee
Taeku Lee
Seung-Wuk Lee
Peggy G. Lemaux
Martin Lettau
Ming Leung
Paul Licht
Dennis K. Lieu
Susan Lin
Stuart Linn
Judith Warren Little
Fenyong Liu
Xin Liu
Goodwin Liu
Yue Liu
Steven Louie
Sheng Luan
Jacob Lubliner
Rita Lucarelli
Samuel Lucas
Michael Lucey
Paul L. Ludden
Kam-Biu Luk
Kristin Luker
Ninik Lunde
Kunxin Luo
Michael (Miki) Lustig
Chung-Pei Ma
Roya Maboudian
Robert MacCoun
Jeremy Magruder
Ulrike Malmendier
Paolo Mancosu
Alaa Mansour
Samuel S. Mao
Philip Marcus
Clare Cooper Marcus
Samuel Markowitz
Susan Marqusee
Richard Marrus
Michael Mascuch
Susan Maslan
Susan Matisoff
Jane Gilbert Mauldon
Iris Mauss
Maria Mavroudi
Laurent Mayali
Jon McAuliffe
Justin McCrary
Dale R. McCullough
Jimmy A. McGuire
Mairi McLaughlin
Hugh McLean
John K. McNulty
Donald McQuade
Guy Micco
Edward Miguel
Burkhard Militzer
Maureen C. Miller
Paulo J. M. Monteiro
Luciano G. Moretto
Scott Moura
Holger Mueller
Bharati Mukherjee
Richard S. Muller
Susan J. Muller
Richard A. Muller
"Carlos Muձoz, Jr"
Veronique Munoz-Darde
Hitoshi Murayama
Charles E. Murgia
Trevor M. Murphy
Erin Murphy-Graham
Laura Nader
George Necula
Linda Neuhauser
Daniel M. Neumark
Andrew R. Neureuther
Eric Neuscamman
Clark Nguyen
Rasmus Nielsen
Maura Nolan
Daniel Nomura
Yasunori Nomura
Larry Nucci
Peter Nugent
Amani Nuru-Jeter
G. Ugo Nwokeji
Dara O'Rourke
David O'Sullivan
Maurice Obstfeld
Arthur E. Ogus
Bruno Olshausen
Marcus M. Opp
Shmuel S. Oren
Kurt C. Organista
Claudia P. Ostertag
Samuel Otter
Celine Pallud
Marios Panagiotou
Christos H. Papadimitriou
Panayiotis Papadopoulos
Vasudha Paramasivan
Christine Parlour
Panos N. Patatoukas
Markus Pauly
Nancy Lee Peluso
Yuval Peres
Laura Perez
Saul Perlmutter
Juan M. Pestana
Mu-Ming Poo
Alexey Pozdnukhov
John M. Prausnitz
Gautam Premnath
Buford Price
Lisa A. Pruitt
Stanley G. Prussin
Kent Puckett
Charles C. Pugh
Elizabeth Purdom
Roger Purves
Zi Qiang Qiu
Peter Quail
Eliot Quataert
John Quigley
Paul Rabinow
Surjeet Rajendran
Julio Ramos
Kristiana Raube
Irmengard Rauch
David H. Raulet
Gordon Rausser
Sugata Ray
Carol Redmount
Arthur Reingold
Paul Renne
Fraydoun Rezakhanlou
Paul L. Richards
Hugh Richmond
Juana Maria Rodriguez
Hector Rodriguez
Andres Rodriguez-Clare
Austin John Roorda
Ruth Rosen
Erica Bree Rosenblum
Arthur Rosenfeld
Michael Rubenstein
Gerald Rubin
Harry Rubin
Yoram Rubin
Daniel L. Rubinfeld
Boris Rubinsky
Mark Rubinstein
Linda Haverty Rugg
Thomas G. Rundall
William M. Runyan
Stuart J. Russell
Elisabeth Sadoulet
Bernard Sadoulet
Emmanuel Saez
Dylan Paul Sailor
Miquel Salmeron
Pamela Samuelson
Scott Saul
Alexandra Saum-Pascual
Walter Schamschula
Nancy Scheper-Hughes
Rudolf Schmid
Lee W. Schruben
Paul Schwartz
Susan Schweik
Koushik Sen
Raja Sengupta
George Sensabaugh
Carlo Sequin
Juliet Shaffer
Susan Shaheen
J George Shanthikumar
Max Zuo-Jun Shen
Jonathan Shewchuk
Arthur Shimamura
Howard Shugart
Marjorie Shultz
Muhammad Siddiq
Ikhlaq Sidhu
Rachel Slaybaugh
Yuri Slezkine
Hans Sluga
Sandra Susan Smith
Karen Sokal-Gutierrez
Shauna Somerville
Yun S. Song
Wayne P. Sousa
Michael Southworth
Dan Stamper-Kurn
Laura Sterponi
Laura Stoker
Susan Stone
Susan Irene Stone
George Strauss
Herbert L. Strauss
Barry Stroud
Ronald S. Stroud
Bernd Sturmfels
Xuanming Su
Vivek Subramanian
Stephen D. Sugarman
Hei Sook Sul
David Sunding
Z. Renee Sung
Jun Sunseri
Yuri Suzuki
Mahiko Suzuki
Stephanie Syjuco
Mark Tanouye
Richard Taruskin
Daniel Tataru
Ula Y. Taylor
Frederic Theunissen
D. Paul Thomas
Emily V. Thornbury
Masayoshi Tomizuka
Benson H. Tongue
Ruth Tringham
Susan Ervin Tripp
Tina Trujillo
Neil Tsutsui
Cihan Tugal
Danielle Tullman-Ercek
Elliot Turiel
James Grantham Turner
Doug Tygar
Laura D'Andrea Tyson
Susan Ubbelohde
Upkar K. Ubhi
Kent S. Udell
Ken Ueno
Khatharya Um
Jennifer Urban
Theodore Van Duzer
Nancy A. Van House
Molly Van Houweling
Richard C. Van Sluyters
Russell Vance
Paula Varsano
Umesh Vazirani
Niek Veldhuis
Bruce M. Vermazen
J. Miguel Villas-Boas
Dan-Virgil Voiculescu
Paul A. Vojta
Jasmina L. Vujic
Chris D. Vulpe
Loic Wacquant
Paul Waddell
Laura Waller
Julia A. Walsh
Chi-Yuen Wang
William Shi-Yuan Wang
Hans-Rudolf Wenk
Laurie Wilkie
Lauren Williams
Michael Wintroub
Mariusz Wodzicki
Sau-ling C. Wong
Eugene Wong
W. Hugh Woodin
Paul Wright
Hung-Hsi Wu
Junqiao Wu
Ming Wu
Felix F. Wu
Jonathan Wurtele
Fei Xu
Ting Xu
Ke Xu
Kazuo Yamazaki
Ronald W. Yeung
Yu-Wen Ying
Bin Yu
Xinyi Yuan
Alexei Yurchak
Xiao-Jun Zhang
Wenjun Zhang
Qiang Zhou
Qing Zhou
Robert S. Zucker
Irving Zucker
David Zusman
David A. Aaker
Kathryn Abrams
David Ackerly
Vinod K. Aggarwal
George A. Akerlof
Nancy Klein Amy
Venkat Anantharam
Mark S. T. Anderson
Murat Arcak
Adam Arkin
Krste Asanovic
Arthur Askins
Alper Atamturk
Ozlem Ayduk
Barbara Baker
