Sangwei Lu
Francesca Rochberg
Juana Maria Rodriguez
Andres Rodriguez-Clare
Daniel Rokhsar
Gerard Roland
Barbara Romanowicz
Christina Romer
David Romer
David Romps
Austin John Roorda
Eleanor Rosch
Andrew Rose
Erica Bree Rosenblum
Arthur Rosenfeld
Caitlin Rosenthal
Thomas Rothenberg
Lawrence A. Rowe
Ananya Roy
Michael Rubenstein
Gerald Rubin
Harry Rubin
Yoram Rubin
Daniel L. Rubinfeld
Mark Rubinstein
Linda Haverty Rugg
Thomas G. Rundall
William M. Runyan
Stuart J. Russell
Kathleen Ryan
Zak Sabry
Rainer Sachs
Jerome L. Sackman
Elisabeth Sadoulet
Bernard Sadoulet
Emmanuel Saez
Anant Sahai
Peter Sahlins
Dylan Paul Sailor
Stanley Saitowitz
James Sallee
Miquel Salmeron
Leslie Salzinger
Pamela Samuelson
Martin Sanchez-Jankowski
Mark Sandberg
Karin Sanders
Seth R. Sanders
Alberto Sangiovanni-Vincentelli
Debarati Sanyal
Alex Saragoza
Donald E. Sarason
Daniel Sargent
Vincent Sarich
Richmond Sarpong
Miryam Sas
Kal Sastry
S. Shankar Sastry
William Satariano
Scott Saul
Alexandra Saum-Pascual
David Savage
Omer Savas
Robert F. Sawyer
Geoffrey B. Saxe
AnnaLee Saxenian
Richard J. Saykally
Nathan Sayre
Thomas Scanlon
Howard Schachman
David V. Schaffer
Walter Schamschula
Andrew Scharlach
Richard M. Scheffler
Harry N. Scheiber
Randy Schekman
Nancy Scheper-Hughes
Stefano Schiavon
Mark S. Schlissel
Alan H. Schoenfeld
Martin Schwartz
Charles Schwartz
Paul Schwartz
Steven E. Schwarz
Susan Schweik
Janelle Scott
Raphael Sealey
John Searle
David L. Sedlak
Hinrich C. Seeba
Raymond B. Seed
Steven P. Segal
Elisabeth Semel
Raja Sengupta
George Sensabaugh
Carlo Sequin
Vera Serganova
C. Namwali Serpell
Sanjit Seshia
James A. Sethian
James Seward
Bill Sha
Steven Shackley
Juliet Shaffer
Ethan Shagan
Susan Shaheen
Harley Shaiken
Barry Shane
Charles V. Shank
Andrew Shanken
"Merrill, J. Shanks"
Thomas Shannon
Christina Shannon
J George Shanthikumar
Michael Shapira
Valerie Shapiro
Marjorie Shapiro
Barbara Shapiro
Martin M. Shapiro
Carl Shapiro
Robert Sharf
Nilabh Shastri
Jonathan Sheehan
Max Zuo-Jun Shen
Katherine D. Sherwood
Jonathan Shewchuk
Arthur Shimamura
Andrew Shogan
Kevan Shokat
Howard Shugart
Marjorie Shultz
Muhammad Siddiq
Irfan Siddiqi
Ikhlaq Sidhu
James Siegrist
Michael Silver
Kaja Silverman
Jonathan Simon
Alistair Sinclair
Isadore M. Singer
Nicholas Sitar
Kimmen Sjolander
Alex Skabardonis
Theodore A. Slaman
Candace Slater
Montgomery Slatkin
Rachel Slaybaugh
Doris Sloan
Thomas Sloane
Dan I. Slobin
Hans Sluga
Allan Sly
Stephen Smale
Stephen Small
Mary Ann Smart
Allan Smith
Martyn Smith
Alan Jay Smith
Sandra Susan Smith
Ann Smock
Johan Snapper
Katherine Snyder
Lydia Sohn
Karen Sokal-Gutierrez
Shauna Somerville
Gabor A. Somorjai
Dawn Song
Sarah Song
Wayne P. Sousa
Michael Southworth
Barbara Spackman
Costas J. Spanos
Robert Spear
Chelsea Specht
Pablo Spiller
Hyron Spinrad
Garrison Sposito
Sameer Srivastava
Mark Stacey
Carol B. Stack
Angelica Stacy
Andreas Stahl
Dan Stamper-Kurn
Richard Stanton
Philip B. Stark
George Starr
Brian J. Staskawicz
Barry Staw
David J. Steigmann
Alan Steinbach
Richard Stephens
David Stern
Laura Sterponi
Andrew F. Stewart
Jonathon H. Stillman
Shannon C. Stimson
Ion Stoica
Bozidar Stojadinovic
Vladimir Stojanovic
Laura Stoker
Charles Stone
Susan Stone
Susan Irene Stone
Tyler Stovall
Philipp Strack
John Strain
George Strauss
Herbert L. Strauss
Barry Stroud
Ronald S. Stroud
Mark Strovink
Xuanming Su
Vivek Subramanian
Stephen D. Sugarman
David Sunding
Mahiko Suzuki
Nicholas Swanson-Hysell
Ann Swidler
Eleanor Swift
Stephanie Syjuco
S. Leonard Syme
Andrew Szeri
Nicolas Tackett
Steven Tadelis
Michi Taga
Ira Tager
Eric Talley
Elisa Tamarkin
Chenxi Tang
Mark Tanouye
Alan Tansman
Estelle Tarica
Michael Tarter
Richard Taruskin
Sarah Tasker
Daniel Tataru
Hayden Taylor
Robert L. Taylor
Ula Y. Taylor
Margaret Taylor
Terry Taylor
John W. Taylor
David Teece
Constantin Teleman
Elaine Tennant
Norman Terry
testFname testLname
D. Paul Thomas
Jerome F. Thomas
Aram Thomasian
Charis Thompson
Sally E. Thompson
Barrie Thorne
Alan Timberlake
"Ignacio Tinoco, Jr."
Matthew Tirrell
